#\tilde{\Omega};Ω̃
\to;→
\le;≤
\ge;≥
\dots;…
\parr;⅋
\colon;:
\vert;|
# --------- brackets --------------
\left \{;{
\right \};}
\big(;(
\big);)
\bigg);)
\bigg);)
\Big(;(
\Big);)
\left(;(
\right);)
\left[;[
\right];]
\bigl \{;{
\bigr \};}
# ---------- functions -------------
\arccos
\arcsin
\arctan
\cos
\cosh
\cot
\coth
\csc
\deg
\det
\dim
\exp
\gcd
\hom
\inf
\ker
\lg
\lim
\liminf
\limsup
\ln
\log
\max
\min
\sec
\sin
\sinh
\sup
\tan
\tanh
\mod
# ---------- special letters -------
\tilde{O};Õ
\tilde{o};õ
\smallsetminus;∖;02216
\ast;∗;02217
\circ;∘;02218
\bullet;∙;02219
\sqrt;√;0221A
\sqrt[3];∛;0221B
\sqrt[4];∜;0221C
\propto;∝;0221D
\infty;∞;0221E
\rightangle;∟;0221F
\angle;∠;02220
\measuredangle;∡;02221
\sphericalangle;∢;02222
\mid;∣;02223
\nmid;∤;02224
\parallel;∥;02225
\nparallel;∦;02226
\wedge;∧;02227
\vee;∨;02228
\cap;∩;02229
\cup;∪;0222A
\int;∫;0222B
\iint;∬;0222C
\iiint;∭;0222D
\oint;∮;0222E
\oiint;∯;0222F
\oiiint;∰;02230
\varointclockwise;∲;02232
\ointctrclockwise;∳;02233
\therefore;∴;02234
\because;∵;02235
\Proportion;∷;02237
\eqcolon;∹;02239
\sim;∼;0223C
\backsim;∽;0223D
#\AC;∿;0223F
\wr;≀;02240
\nsim;≁;02241
\eqsim;≂;02242
\simeq;≃;02243
\nsimeq;≄;02244
\cong;≅;02245
\ncong;≇;02247
\approx;≈;02248
\napprox;≉;02249
\approxeq;≊;0224A
\asymp;≍;0224D
\Bumpeq;≎;0224E
\bumpeq;≏;0224F
\doteq;≐;02250
\Doteq;≑;02251
\fallingdotseq;≒;02252
\risingdotseq;≓;02253
\coloneq;≔;02254
\eqcolon;≕;02255
\eqcirc;≖;02256
\circeq;≗;02257
\corresponds;≙;02259
\triangleq;≜;0225C
\neq;≠;02260
\equiv;≡;02261
\nequiv;≢;02262
\leq;≤;02264
\geq;≥;02265
\leqq;≦;02266
\geqq;≧;02267
\lneqq;≨;02268
\gneqq;≩;02269
\ll;≪;0226A
\gg;≫;0226B
\between;≬;0226C
\notasymp;≭;0226D
\nless;≮;0226E
\ngtr;≯;0226F
\nleq;≰;02270
\ngeq;≱;02271
\lesssim;≲;02272
\gtrsim;≳;02273
\NotLessTilde;≴;02274
\NotGreaterTilde;≵;02275
\lessgtr;≶;02276
\gtrless;≷;02277
\NotGreaterLess;≹;02279
\prec;≺;0227A
\succ;≻;0227B
\preccurlyeq;≼;0227C
\succcurlyeq;≽;0227D
\precsim;≾;0227E
\succsim;≿;0227F
\nprec;⊀;02280
\nsucc;⊁;02281
\subset;⊂;02282
\supset;⊃;02283
\nsubset;⊄;02284
\nsupset;⊅;02285
\subseteq;⊆;02286
\supseteq;⊇;02287
\nsubseteq;⊈;02288
\nsupseteq;⊉;02289
\subsetneq;⊊;0228A
\supsetneq;⊋;0228B
\uplus;⊎;0228E
\sqsubset;⊏;0228F
\sqsupset;⊐;02290
\sqsubseteq;⊑;02291
\sqsupseteq;⊒;02292
\sqcap;⊓;02293
\sqcup;⊔;02294
\oplus;⊕;02295
\ominus;⊖;02296
\otimes;⊗;02297
\oslash;⊘;02298
\odot;⊙;02299
\circledcirc;⊚;0229A
\circledast;⊛;0229B
\circleddash;⊝;0229D
\boxplus;⊞;0229E
\boxminus;⊟;0229F
\boxtimes;⊠;022A0
\boxdot;⊡;022A1
\vdash;⊢;022A2
\dashv;⊣;022A3
\top;⊤;022A4
\bot;⊥;022A5
\models;⊧;022A7
\vDash;⊨;022A8
\Vdash;⊩;022A9
\Vvdash;⊪;022AA
\VDash;⊫;022AB
\nvdash;⊬;022AC
\nvDash;⊭;022AD
\nVdash;⊮;022AE
\nVDash;⊯;022AF
\vartriangleleft;⊲;022B2
\vartriangleright;⊳;022B3
\trianglelefteq;⊴;022B4
\trianglerighteq;⊵;022B5
\multimapdotbothA;⊶;022B6
\multimapdotbothB;⊷;022B7
\multimap;⊸;022B8
\intercal;⊺;022BA
\veebar;⊻;022BB
\barwedge;⊼;022BC
\bigwedge;⋀;022C0
\bigvee;⋁;022C1
\bigcap;⋂;022C2
\bigcup;⋃;022C3
\diamond;⋄;022C4
\cdot;⋅;022C5
\star;⋆;022C6
\divideontimes;⋇;022C7
\bowtie;⋈;022C8
\ltimes;⋉;022C9
\rtimes;⋊;022CA
\leftthreetimes;⋋;022CB
\rightthreetimes;⋌;022CC
\backsimeq;⋍;022CD
\curlyvee;⋎;022CE
\curlywedge;⋏;022CF
\Subset;⋐;022D0
\Supset;⋑;022D1
\Cap;⋒;022D2
\Cup;⋓;022D3
\pitchfork;⋔;022D4
\hash;⋕;022D5
\lessdot;⋖;022D6
\gtrdot;⋗;022D7
\lll;⋘;022D8
\ggg;⋙;022D9
\lesseqgtr;⋚;022DA
\gtreqless;⋛;022DB
\curlyeqprec;⋞;022DE
\curlyeqsucc;⋟;022DF
\npreceq;⋠;022E0
\nsucceq;⋡;022E1
\nsqsubseteq;⋢;022E2
\nsqsupseteq;⋣;022E3
\lnsim;⋦;022E6
\gnsim;⋧;022E7
\precnsim;⋨;022E8
\succnsim;⋩;022E9
\ntriangleleft;⋪;022EA
\ntriangleright;⋫;022EB
\ntrianglelefteq;⋬;022EC
\ntrianglerighteq;⋭;022ED
\vdots;⋮;022EE
\cdots;⋯;022EF
\iddots;⋰;022F0
\ddots;⋱;022F1
\barin;⋶;022F6
\diameter;⌀;02300
\lceil;⌈;02308
\rceil;⌉;02309
\lfloor;⌊;0230A
\rfloor;⌋;0230B
\invneg;⌐;02310
\wasylozenge;⌑;02311
\ulcorner;⌜;0231C
\urcorner;⌝;0231D
\llcorner;⌞;0231E
\lrcorner;⌟;0231F
\frown;⌢;02322
\smile;⌣;02323
\APLinv;⌹;02339
\notslash;⌿;0233F
\notbackslash;⍀;02340
\APLleftarrowbox;⍇;02347
\APLrightarrowbox;⍈;02348
\invdiameter;⍉;02349
\APLuparrowbox;⍐;02350
\APLdownarrowbox;⍗;02357
\APLcomment;⍝;0235D
\APLinput;⍞;0235E
\APLlog;⍟;0235F
\overparen;⏜;023DC
\underparen;⏝;023DD
\overbrace;⏞;023DE
\underbrace;⏟;023DF
\bigtriangleup;△;025B3
\blacktriangleup;▴;025B4
\smalltriangleup;▵;025B5
\RHD;▶;025B6
\rhd;▷;025B7
\blacktriangleright;▸;025B8
